股票代码,名称,所属行业,地域,上市日期,TS代码,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,涨跌额,涨跌幅(%),成交量(手),成交额(千元),换手率(%),换手率(自由流通股),量比,市盈率,"市盈率(TTM,亏损的PE为空)",市净率,市销率,市销率(TTM),股息率(%),股息率(TTM)(%),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),今日涨停价,今日跌停价
920029,开发科技,电器仪表,四川,20250328,920029.BJ,20251205,90.55,91.48,90.11,91.45,90.56,0.89,0.9828,3422.59,31133.615,1.0765,1.0765,0.66,21.5642,18.9165,3.5475,4.3308,4.0644,,,13888.6667,3179.3334,3179.3334,1270118.5697,290750.0394,117.72,63.4
920029,开发科技,电器仪表,四川,20250328,920029.BJ,20251204,91.51,91.84,90.09,90.56,91.5,-0.94,-1.0273,3216.77,29211.52,1.0118,1.0118,0.61,21.3543,18.7324,3.5129,4.2887,4.0249,,,13888.6667,3179.3334,3179.3334,1257757.6564,287920.4327,118.95,64.05
920029,开发科技,电器仪表,四川,20250328,920029.BJ,20251203,91.9,92.45,91.23,91.5,91.37,0.13,0.1423,4056.32,37246.485,1.2758,1.2758,0.76,21.576,18.9269,3.5494,4.3332,4.0667,,,13888.6667,3179.3334,3179.3334,1270813.0031,290909.0061,118.78,63.96
920029,开发科技,电器仪表,四川,20250328,920029.BJ,20251202,92.2,92.58,91.12,91.37,92.1,-0.73,-0.7926,3731.81,34233.177,1.1738,1.1738,0.67,21.5453,18.9,3.5443,4.3271,4.0609,,,13888.6667,3179.3334,3179.3334,1269007.4764,290495.6928,119.73,64.47
920029,开发科技,电器仪表,四川,20250328,920029.BJ,20251201,90.94,93.18,90.57,92.1,90.18,1.92,2.1291,11021.78,101888.419,3.4667,3.4667,2.58,21.7175,19.051,3.5727,4.3616,4.0933,,,13888.6667,3179.3334,3179.3334,1279146.2031,292816.6061,117.23,63.13
920029,开发科技,电器仪表,四川,20250328,920029.BJ,20251128,89.01,90.18,88.55,90.18,88.82,1.36,1.5312,3852.62,34494.743,1.2118,1.2118,0.67,21.2647,18.6538,3.4982,4.2707,4.008,,,13888.6667,3179.3334,3179.3334,1252479.963,286712.286,115.46,62.18
920029,开发科技,电器仪表,四川,20250328,920029.BJ,20251127,89.12,89.58,88.22,88.82,88.87,-0.05,-0.0563,3866.81,34385.29,1.2162,1.2162,0.66,20.944,18.3725,3.4454,4.2063,3.9475,,,13888.6667,3179.3334,3179.3334,1233591.3763,282388.3926,115.53,62.21
920029,开发科技,电器仪表,四川,20250328,920029.BJ,20251126,90.05,90.25,88.66,88.87,89.68,-0.81,-0.9032,4304.03,38422.138,1.3538,1.3538,0.72,20.9558,18.3829,3.4474,4.2087,3.9498,,,13888.6667,3179.3334,3179.3334,1234285.8096,282547.3593,116.58,62.78
920029,开发科技,电器仪表,四川,20250328,920029.BJ,20251125,89.2,90.44,88.8,89.68,88.8,0.88,0.991,4773.56,42832.256,1.5014,1.5014,0.72,21.1468,18.5504,3.4788,4.247,3.9858,,,13888.6667,3179.3334,3179.3334,1245535.6297,285122.6193,115.44,62.16
920029,开发科技,电器仪表,四川,20250328,920029.BJ,20251124,88.61,89.33,88.11,88.8,88.32,0.48,0.5435,4594.66,40808.167,1.4452,1.4452,0.6,20.9393,18.3684,3.4447,4.2053,3.9467,,,13888.6667,3179.3334,3179.3334,1233313.603,282324.8059,114.81,61.83
920029,开发科技,电器仪表,四川,20250328,920029.BJ,20251121,91.6,91.87,88.32,88.32,92.07,-3.75,-4.073,11069.97,99240.212,3.4819,3.4819,1.53,20.8261,18.2691,3.426,4.1826,3.9253,,,13888.6667,3179.3334,3179.3334,1226647.0429,280798.7259,119.69,64.45
920029,开发科技,电器仪表,四川,20250328,920029.BJ,20251120,92.1,92.88,91.58,92.07,92.0,0.07,0.0761,4426.56,40759.22,1.3923,1.3923,0.5,21.7104,19.0448,3.5715,4.3602,4.092,,,13888.6667,3179.3334,3179.3334,1278729.5431,292721.2261,119.6,64.4
920029,开发科技,电器仪表,四川,20250328,920029.BJ,20251119,92.75,93.79,91.7,92.0,92.8,-0.8,-0.8621,5076.64,46792.194,1.5968,1.5968,0.48,21.6939,19.0303,3.5688,4.3569,4.0889,,,13888.6667,3179.3334,3179.3334,1277757.3364,292498.6728,120.64,64.96
920029,开发科技,电器仪表,四川,20250328,920029.BJ,20251118,94.9,94.9,92.3,92.8,94.92,-2.12,-2.2335,8131.83,75866.78,2.5577,2.5577,0.55,21.8825,19.1958,3.5998,4.3948,4.1244,,,13888.6667,3179.3334,3179.3334,1288868.2698,295042.1395,123.39,66.45
920029,开发科技,电器仪表,四川,20250328,920029.BJ,20251117,96.58,96.65,94.5,94.92,96.06,-1.14,-1.1868,9298.5,88481.343,2.9247,2.9247,0.64,22.3824,19.6343,3.6821,4.4952,4.2187,,,13888.6667,3179.3334,3179.3334,1318312.2432,301782.3263,124.87,67.25
920029,开发科技,电器仪表,四川,20250328,920029.BJ,20251114,96.05,98.3,95.9,96.06,97.05,-0.99,-1.0201,9134.32,88632.659,2.873,2.873,0.61,22.6512,19.8701,3.7263,4.5492,4.2693,,,13888.6667,3179.3334,3179.3334,1334145.3232,305406.7664,126.16,67.94
920029,开发科技,电器仪表,四川,20250328,920029.BJ,20251113,96.12,98.16,95.65,97.05,96.49,0.56,0.5804,12559.59,121777.505,3.9504,3.9504,0.84,22.8847,20.0749,3.7647,4.596,4.3133,,,13888.6667,3179.3334,3179.3334,1347895.1032,308554.3065,125.43,67.55
920029,开发科技,电器仪表,四川,20250328,920029.BJ,20251112,97.82,98.85,95.6,96.49,97.89,-1.4,-1.4302,13803.05,134051.155,4.3415,4.3415,0.89,22.7526,19.9591,3.743,4.5695,4.2884,,,13888.6667,3179.3334,3179.3334,1340117.4499,306773.8798,127.25,68.53
920029,开发科技,电器仪表,四川,20250328,920029.BJ,20251111,94.92,98.88,94.12,97.89,93.92,3.97,4.227,28582.24,278303.572,8.99,8.99,2.43,23.0828,20.2486,3.7973,4.6358,4.3507,,,13888.6667,3179.3334,3179.3334,1359561.5833,311224.9465,122.09,65.75
920029,开发科技,电器仪表,四川,20250328,920029.BJ,20251110,95.63,95.68,93.77,93.92,95.63,-1.71,-1.7881,8879.94,83851.995,2.793,2.793,0.71,22.1466,19.4274,3.6433,4.4478,4.1742,,,13888.6667,3179.3334,3179.3334,1304423.5765,298602.9929,124.31,66.95
