股票代码,名称,所属行业,地域,上市日期,TS代码,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,涨跌额,涨跌幅(%),成交量(手),成交额(千元),换手率(%),换手率(自由流通股),量比,市盈率,"市盈率(TTM,亏损的PE为空)",市净率,市销率,市销率(TTM),股息率(%),股息率(TTM)(%),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),今日涨停价,今日跌停价
688583,思看科技,电器仪表,浙江,20250115,688583.SH,20251205,93.33,97.0,91.3,96.66,92.62,4.04,4.3619,13929.33,132321.719,7.8786,7.8786,1.73,70.8945,71.5029,7.4822,25.692,23.1439,,,8840.0,1768.0001,1768.0001,854474.4,170894.8897,111.14,74.1
688583,思看科技,电器仪表,浙江,20250115,688583.SH,20251204,93.8,98.0,92.5,92.62,91.88,0.74,0.8054,12707.54,120149.795,7.1875,7.1875,2.05,67.9314,68.5144,7.1695,24.6182,22.1766,,,8840.0,1768.0001,1768.0001,818760.8,163752.1693,110.26,73.5
688583,思看科技,电器仪表,浙江,20250115,688583.SH,20251203,91.48,92.32,90.02,91.88,91.5,0.38,0.4153,4882.8,44555.912,2.7618,2.7618,0.76,67.3887,67.967,7.1122,24.4215,21.9994,,,8840.0,1768.0001,1768.0001,812219.2,162443.8492,109.8,73.2
688583,思看科技,电器仪表,浙江,20250115,688583.SH,20251202,90.83,93.5,90.83,91.5,91.6,-0.1,-0.1092,6885.45,63409.074,3.8945,3.8945,0.93,67.11,67.6859,7.0828,24.3205,21.9084,,,8840.0,1768.0001,1768.0001,808860.0,161772.0092,109.92,73.28
688583,思看科技,电器仪表,浙江,20250115,688583.SH,20251201,89.8,95.0,88.6,91.6,88.56,3.04,3.4327,11823.04,108980.378,6.6872,6.6872,2.0,67.1833,67.7599,7.0905,24.3471,21.9324,,,8840.0,1768.0001,1768.0001,809744.0,161948.8092,106.27,70.85
688583,思看科技,电器仪表,浙江,20250115,688583.SH,20251128,86.61,89.27,86.0,88.56,86.61,1.95,2.2515,3943.34,34630.464,2.2304,2.2304,0.67,64.9536,65.5111,6.8552,23.539,21.2045,,,8840.0,1768.0001,1768.0001,782870.4,156574.0889,103.93,69.29
688583,思看科技,电器仪表,浙江,20250115,688583.SH,20251127,88.33,88.8,86.5,86.61,87.04,-0.43,-0.494,3424.88,30067.814,1.9371,1.9371,0.59,63.5234,64.0686,6.7042,23.0207,20.7376,,,8840.0,1768.0001,1768.0001,765632.4,153126.4887,104.45,69.63
688583,思看科技,电器仪表,浙江,20250115,688583.SH,20251126,87.28,89.98,87.04,87.04,88.12,-1.08,-1.2256,6212.17,54901.585,3.5137,3.5137,1.09,63.8388,64.3867,6.7375,23.135,20.8405,,,8840.0,1768.0001,1768.0001,769433.6,153886.7287,105.74,70.5
688583,思看科技,电器仪表,浙江,20250115,688583.SH,20251125,83.61,90.86,82.95,88.12,82.59,5.53,6.6957,11443.42,100598.412,6.4725,6.4725,2.8,64.6309,65.1856,6.8211,23.4221,21.0991,,,8840.0,1768.0001,1768.0001,778980.8,155796.1688,99.11,66.07
688583,思看科技,电器仪表,浙江,20250115,688583.SH,20251124,80.33,83.8,79.48,82.59,80.08,2.51,3.1344,4543.65,37158.569,2.5699,2.5699,1.27,60.575,61.0948,6.3931,21.9522,19.775,,,8840.0,1768.0001,1768.0001,730095.6,146019.1283,96.1,64.06
