股票代码,名称,所属行业,地域,上市日期,TS代码,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,涨跌额,涨跌幅(%),成交量(手),成交额(千元),换手率(%),换手率(自由流通股),量比,市盈率,"市盈率(TTM,亏损的PE为空)",市净率,市销率,市销率(TTM),股息率(%),股息率(TTM)(%),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),今日涨停价,今日跌停价
001314,亿道信息,元器件,深圳,20230214,001314.SZ,20251205,46.1,46.7,45.31,46.29,46.0,0.29,0.6304,18308.0,84143.312,3.5339,3.5339,0.72,193.7193,329.1303,3.1954,2.0765,1.7675,0.7097,0.1928,14263.4,5180.6112,5180.6112,660252.786,239810.4924,50.6,41.4
001314,亿道信息,元器件,深圳,20230214,001314.SZ,20251204,46.24,46.68,45.41,46.0,46.42,-0.42,-0.9048,19116.0,87784.274,3.6899,3.6899,0.73,192.5057,327.0683,3.1754,2.0635,1.7564,0.7141,0.194,14263.4,5180.6112,5180.6112,656116.4,238308.1152,51.06,41.78
001314,亿道信息,元器件,深圳,20230214,001314.SZ,20251203,47.36,47.65,46.26,46.42,47.38,-0.96,-2.0262,20845.7,97273.21,4.0238,4.0238,0.82,194.2634,330.0546,3.2044,2.0823,1.7725,0.7077,0.1923,14263.4,5180.6112,5180.6112,662107.028,240483.9719,52.12,42.64
001314,亿道信息,元器件,深圳,20230214,001314.SZ,20251202,47.25,47.9,47.04,47.38,47.29,0.09,0.1903,29827.0,141394.017,5.7574,5.7574,1.26,198.2809,336.8804,3.2706,2.1254,1.8091,0.6933,0.1884,14263.4,5180.6112,5180.6112,675799.892,245457.3587,52.02,42.56
001314,亿道信息,元器件,深圳,20230214,001314.SZ,20251201,46.13,47.8,45.88,47.29,45.93,1.36,2.961,43620.7,205274.536,8.42,8.42,2.18,197.9042,336.2405,3.2644,2.1214,1.8057,0.6947,0.1887,14263.4,5180.6112,5180.6112,674516.186,244991.1036,50.52,41.34
001314,亿道信息,元器件,深圳,20230214,001314.SZ,20251128,46.28,46.33,45.73,45.93,45.97,-0.04,-0.087,14275.83,65632.896,2.7556,2.7556,0.64,192.2128,326.5706,3.1705,2.0604,1.7538,0.7152,0.1943,14263.4,5180.6112,5180.6112,655117.962,237945.4724,50.57,41.37
001314,亿道信息,元器件,深圳,20230214,001314.SZ,20251127,45.4,46.31,45.39,45.97,45.45,0.52,1.1441,22244.0,102143.682,4.2937,4.2937,1.07,192.3802,326.855,3.1733,2.0622,1.7553,0.7146,0.1941,14263.4,5180.6112,5180.6112,655688.498,238152.6969,50.0,40.91
001314,亿道信息,元器件,深圳,20230214,001314.SZ,20251126,45.22,46.25,45.18,45.45,45.45,0.0,0.0,17462.0,79817.903,3.3706,3.3706,0.82,190.204,323.1577,3.1374,2.0388,1.7354,0.7228,0.1964,14263.4,5180.6112,5180.6112,648271.53,235458.779,50.0,40.91
001314,亿道信息,元器件,深圳,20230214,001314.SZ,20251125,45.18,45.88,45.1,45.45,45.0,0.45,1.0,21208.0,96717.079,4.0937,4.0937,1.01,190.204,323.1577,3.1374,2.0388,1.7354,0.7228,0.1964,14263.4,5180.6112,5180.6112,648271.53,235458.779,49.5,40.5
001314,亿道信息,元器件,深圳,20230214,001314.SZ,20251124,43.8,45.18,43.33,45.0,43.36,1.64,3.7823,24760.65,109900.752,4.7795,4.7795,1.26,188.3208,319.9582,3.1063,2.0186,1.7182,0.73,0.1983,14263.4,5180.6112,5180.6112,641853.0,233127.504,47.7,39.02
001314,亿道信息,元器件,深圳,20230214,001314.SZ,20251121,45.08,45.64,43.34,43.36,45.51,-2.15,-4.7242,26614.04,118227.272,5.1372,5.1372,1.56,181.4575,308.2975,2.9931,1.9451,1.6556,0.7576,0.2058,14263.4,5180.6112,5180.6112,618461.024,224631.3016,50.06,40.96
001314,亿道信息,元器件,深圳,20230214,001314.SZ,20251120,46.07,46.5,45.5,45.51,45.92,-0.41,-0.8929,14309.0,65609.358,2.762,2.762,0.83,190.4551,323.5843,3.1415,2.0415,1.7377,0.7218,0.1961,14263.4,5180.6112,5180.6112,649127.334,235769.6157,50.51,41.33
001314,亿道信息,元器件,深圳,20230214,001314.SZ,20251119,46.61,46.73,45.82,45.92,46.76,-0.84,-1.7964,19251.54,88774.969,3.7161,3.7161,1.03,192.1709,326.4995,3.1699,2.0599,1.7534,0.7154,0.1944,14263.4,5180.6112,5180.6112,654975.328,237893.6663,51.44,42.08
001314,亿道信息,元器件,深圳,20230214,001314.SZ,20251118,46.14,46.9,46.14,46.76,46.38,0.38,0.8193,19819.89,92314.362,3.8258,3.8258,1.05,195.6862,332.4721,3.2278,2.0976,1.7854,0.7025,0.1909,14263.4,5180.6112,5180.6112,666956.584,242245.3797,51.02,41.74
001314,亿道信息,元器件,深圳,20230214,001314.SZ,20251117,45.9,46.78,45.81,46.38,45.91,0.47,1.0237,18067.0,83664.204,3.4874,3.4874,0.92,194.096,329.7702,3.2016,2.0806,1.7709,0.7083,0.1924,14263.4,5180.6112,5180.6112,661536.492,240276.7475,50.5,41.32
