股票代码,名称,所属行业,地域,上市日期,TS代码,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,涨跌额,涨跌幅(%),成交量(手),成交额(千元),换手率(%),换手率(自由流通股),量比,市盈率,"市盈率(TTM,亏损的PE为空)",市净率,市销率,市销率(TTM),股息率(%),股息率(TTM)(%),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),今日涨停价,今日跌停价,复权因子
002732,燕塘乳业,乳制品,广东,20141205,002732.SZ,20251205,17.49,17.81,17.18,17.76,17.6,0.16,0.9091,75801.0,133313.214,4.8436,11.5348,0.47,27.1879,37.2978,1.8575,1.6133,1.7381,0.8446,0.8446,15735.0,15649.8811,6571.5211,279453.6,277941.8883,19.36,15.84,1.1231
002732,燕塘乳业,乳制品,广东,20141205,002732.SZ,20251204,18.32,18.48,17.48,17.6,18.54,-0.94,-5.0701,118561.0,211137.782,7.5758,18.0416,0.8,26.943,36.9618,1.8408,1.5987,1.7225,0.8523,0.8523,15735.0,15649.8811,6571.5211,276936.0,275437.9074,20.39,16.69,1.1231
002732,燕塘乳业,乳制品,广东,20141205,002732.SZ,20251203,18.9,18.97,18.32,18.54,18.77,-0.23,-1.2254,103296.73,191142.671,6.6005,15.7188,0.78,28.382,38.9359,1.9391,1.6841,1.8145,0.8091,0.8091,15735.0,15649.8811,6571.5211,291726.9,290148.7956,20.65,16.89,1.1231
002732,燕塘乳业,乳制品,广东,20141205,002732.SZ,20251202,18.82,19.04,18.64,18.77,19.19,-0.42,-2.1886,159627.0,300272.725,10.1999,24.2907,1.49,28.7341,39.4189,1.9631,1.705,1.837,0.7991,0.7991,15735.0,15649.8811,6571.5211,295345.95,293748.2682,21.11,17.27,1.1231
002732,燕塘乳业,乳制品,广东,20141205,002732.SZ,20251201,19.71,19.71,18.8,19.19,20.03,-0.84,-4.1937,268981.0,514379.942,17.1874,40.9313,4.24,29.377,40.301,2.007,1.7432,1.8781,0.7817,0.7817,15735.0,15649.8811,6571.5211,301954.65,300321.2183,22.03,18.03,1.1231
002732,燕塘乳业,乳制品,广东,20141205,002732.SZ,20251128,18.1,20.03,17.93,20.03,18.21,1.82,9.9945,163370.0,321870.614,10.4391,24.8603,4.3,30.6629,42.0651,2.0949,1.8195,1.9603,0.7489,0.7489,15735.0,15649.8811,6571.5211,315172.05,313467.1184,20.03,16.39,1.1231
002732,燕塘乳业,乳制品,广东,20141205,002732.SZ,20251127,17.92,18.4,17.7,18.21,17.87,0.34,1.9026,42119.0,76267.274,2.6913,6.4093,1.19,27.8768,38.2429,1.9046,1.6541,1.7822,0.8237,0.8237,15735.0,15649.8811,6571.5211,286534.35,284984.3348,19.66,16.08,1.1231
002732,燕塘乳业,乳制品,广东,20141205,002732.SZ,20251126,17.83,18.09,17.61,17.87,17.79,0.08,0.4497,30484.01,54458.758,1.9479,4.6388,0.89,27.3563,37.5288,1.869,1.6233,1.7489,0.8394,0.8394,15735.0,15649.8811,6571.5211,281184.45,279663.3753,19.57,16.01,1.1231
002732,燕塘乳业,乳制品,广东,20141205,002732.SZ,20251125,18.0,18.05,17.6,17.79,17.69,0.1,0.5653,32489.02,57711.601,2.076,4.9439,0.9,27.2338,37.3608,1.8606,1.616,1.7411,0.8432,0.8432,15735.0,15649.8811,6571.5211,279925.65,278411.3848,19.46,15.92,1.1231
002732,燕塘乳业,乳制品,广东,20141205,002732.SZ,20251124,18.16,18.78,17.48,17.69,17.38,0.31,1.7837,48769.0,87236.664,3.1163,7.4213,1.2,27.0807,37.1508,1.8502,1.6069,1.7313,0.8479,0.8479,15735.0,15649.8811,6571.5211,278352.15,276846.3967,19.12,15.64,1.1231
002732,燕塘乳业,乳制品,广东,20141205,002732.SZ,20251121,17.75,18.2,17.17,17.38,17.89,-0.51,-2.8508,36139.0,63781.415,2.3092,5.4993,0.93,26.6062,36.4998,1.8177,1.5787,1.7009,0.8631,0.8631,15735.0,15649.8811,6571.5211,273474.3,271994.9335,19.68,16.1,1.1231
002732,燕塘乳业,乳制品,广东,20141205,002732.SZ,20251120,18.1,18.12,17.66,17.89,18.1,-0.21,-1.1602,28761.0,51446.496,1.8378,4.3766,0.74,27.3869,37.5708,1.8711,1.6251,1.7508,0.8385,0.8385,15735.0,15649.8811,6571.5211,281499.15,279976.3729,19.91,16.29,1.1231
