股票代码,名称,所属行业,地域,上市日期,TS代码,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,涨跌额,涨跌幅(%),成交量(手),成交额(千元),换手率(%),换手率(自由流通股),量比,市盈率,"市盈率(TTM,亏损的PE为空)",市净率,市销率,市销率(TTM),股息率(%),股息率(TTM)(%),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),今日涨停价,今日跌停价,复权因子
300615,欣天科技,通信设备,深圳,20170215,300615.SZ,20251205,13.6,13.99,13.4,13.93,13.6,0.33,2.4265,40769.0,56112.833,3.2549,4.2357,1.04,,194.9263,5.0532,9.712,5.9954,0.7122,0.3594,19322.92,12525.2425,9625.0317,269168.2756,174476.628,16.32,10.88,2.4602
300615,欣天科技,通信设备,深圳,20170215,300615.SZ,20251204,13.85,13.95,13.35,13.6,13.85,-0.25,-1.8051,35011.0,47596.443,2.7952,3.6375,0.88,,190.3085,4.9335,9.4819,5.8534,0.7295,0.3681,19322.92,12525.2425,9625.0317,262791.712,170343.298,16.62,11.08,2.4602
300615,欣天科技,通信设备,深圳,20170215,300615.SZ,20251203,14.13,14.21,13.79,13.85,14.13,-0.28,-1.9816,38867.04,54182.277,3.1031,4.0381,0.92,,193.8069,5.0242,9.6562,5.961,0.7163,0.3615,19322.92,12525.2425,9625.0317,267622.442,173474.6086,16.96,11.3,2.4602
300615,欣天科技,通信设备,深圳,20170215,300615.SZ,20251202,14.15,14.29,14.0,14.13,14.23,-0.1,-0.7027,41142.5,58088.46,3.2848,4.2745,0.95,,197.725,5.1257,9.8514,6.0815,0.7021,0.3543,19322.92,12525.2425,9625.0317,273032.8596,176981.6765,17.08,11.38,2.4602
300615,欣天科技,通信设备,深圳,20170215,300615.SZ,20251201,14.08,14.29,13.94,14.23,14.01,0.22,1.5703,44088.52,62590.959,3.52,4.5806,1.01,,199.1243,5.162,9.9211,6.1245,0.6972,0.3518,19322.92,12525.2425,9625.0317,274965.1516,178234.2008,16.81,11.21,2.4602
300615,欣天科技,通信设备,深圳,20170215,300615.SZ,20251128,13.87,14.01,13.75,14.01,13.9,0.11,0.7914,37428.0,52076.429,2.9882,3.8886,0.83,,196.0458,5.0822,9.7678,6.0298,0.7081,0.3573,19322.92,12525.2425,9625.0317,270714.1092,175478.6474,16.68,11.12,2.4602
300615,欣天科技,通信设备,深圳,20170215,300615.SZ,20251127,13.76,13.98,13.7,13.9,13.83,0.07,0.5061,36337.3,50410.931,2.9011,3.7753,0.8,,194.5065,5.0423,9.6911,5.9825,0.7137,0.3602,19322.92,12525.2425,9625.0317,268588.588,174100.8708,16.6,11.06,2.4602
300615,欣天科技,通信设备,深圳,20170215,300615.SZ,20251126,13.73,14.12,13.69,13.83,13.73,0.1,0.7283,51348.5,71454.121,4.0996,5.3349,1.19,,193.527,5.0169,9.6423,5.9524,0.7173,0.362,19322.92,12525.2425,9625.0317,267235.9836,173224.1038,16.48,10.98,2.4602
300615,欣天科技,通信设备,深圳,20170215,300615.SZ,20251125,13.37,13.85,13.37,13.73,13.29,0.44,3.3108,47490.04,65034.106,3.7915,4.934,1.17,,192.1277,4.9806,9.5725,5.9093,0.7226,0.3646,19322.92,12525.2425,9625.0317,265303.6916,171971.5795,15.95,10.63,2.4602
300615,欣天科技,通信设备,深圳,20170215,300615.SZ,20251124,13.13,13.41,13.03,13.29,13.03,0.26,1.9954,46200.92,61160.945,3.6886,4.8001,1.15,,185.9706,4.821,9.2658,5.7199,0.7465,0.3767,19322.92,12525.2425,9625.0317,256801.6068,166460.4728,15.64,10.42,2.4602
