股票代码,名称,所属行业,地域,上市日期,TS代码,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,涨跌额,涨跌幅(%),成交量(手),成交额(千元),换手率(%),换手率(自由流通股),量比,市盈率,"市盈率(TTM,亏损的PE为空)",市净率,市销率,市销率(TTM),股息率(%),股息率(TTM)(%),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),今日涨停价,今日跌停价,复权因子
873726,卓兆点胶,机械基件,江苏,20231019,873726.BJ,20250926,38.28,38.48,36.92,36.98,38.28,-1.3,-3.396,13402.24,50006.693,3.1046,5.7615,0.61,,168.0619,5.1423,24.2585,13.1838,,,8207.7246,4316.8451,2326.1756,303521.6557,159636.9318,49.76,26.8,1.0487
873726,卓兆点胶,机械基件,江苏,20231019,873726.BJ,20250925,38.44,39.18,38.16,38.28,38.86,-0.58,-1.4925,12979.79,49939.324,3.0068,5.5799,0.5,,173.97,5.3231,25.1112,13.6473,,,8207.7246,4316.8451,2326.1756,314191.6977,165248.8304,50.51,27.21,1.0487
873726,卓兆点胶,机械基件,江苏,20231019,873726.BJ,20250924,37.6,39.23,37.6,38.86,38.13,0.73,1.9145,17543.86,67662.374,4.064,7.5419,0.62,,176.6059,5.4037,25.4917,13.854,,,8207.7246,4316.8451,2326.1756,318952.178,167752.6006,49.56,26.7,1.0487
873726,卓兆点胶,机械基件,江苏,20231019,873726.BJ,20250923,41.99,41.99,37.91,38.13,40.97,-2.84,-6.9319,29118.13,113424.856,6.7452,12.5176,0.94,,173.2883,5.3022,25.0128,13.5938,,,8207.7246,4316.8451,2326.1756,312960.539,164601.3037,53.26,28.68,1.0487
873726,卓兆点胶,机械基件,江苏,20231019,873726.BJ,20250922,40.99,42.48,40.58,40.97,39.98,0.99,2.4762,28771.15,119801.267,6.6649,12.3684,0.9,,186.1951,5.6971,26.8758,14.6063,,,8207.7246,4316.8451,2326.1756,336270.4769,176861.1437,51.97,27.99,1.0487
873726,卓兆点胶,机械基件,江苏,20231019,873726.BJ,20250919,39.79,40.8,39.1,39.98,40.3,-0.32,-0.794,21112.96,84090.583,4.8908,9.0763,0.68,,181.6959,5.5595,26.2264,14.2533,,,8207.7246,4316.8451,2326.1756,328144.8295,172587.4671,52.39,28.21,1.0487
873726,卓兆点胶,机械基件,江苏,20231019,873726.BJ,20250918,42.0,42.48,39.96,40.3,42.58,-2.28,-5.3546,32790.32,135026.384,7.5959,14.0962,1.16,,183.1502,5.604,26.4363,14.3674,,,8207.7246,4316.8451,2326.1756,330771.3014,173968.8575,55.35,29.81,1.0487
873726,卓兆点胶,机械基件,江苏,20231019,873726.BJ,20250917,43.92,44.99,42.5,42.58,44.33,-1.75,-3.9477,30231.54,130567.849,7.0032,12.9962,1.13,,193.5121,5.921,27.932,15.1803,,,8207.7246,4316.8451,2326.1756,349484.9135,183811.2644,57.62,31.04,1.0487
873726,卓兆点胶,机械基件,江苏,20231019,873726.BJ,20250916,42.0,44.48,40.58,44.33,41.81,2.52,6.0273,42700.9,183909.736,9.8917,18.3567,1.61,,201.4652,6.1644,29.08,15.8042,,,8207.7246,4316.8451,2326.1756,363848.4315,191365.7433,54.35,29.27,1.0487
873726,卓兆点胶,机械基件,江苏,20231019,873726.BJ,20250915,39.73,41.9,39.5,41.81,39.03,2.78,7.1227,33018.52,135293.53,7.6488,14.1943,1.18,,190.0127,5.814,27.4269,14.9057,,,8207.7246,4316.8451,2326.1756,343164.9655,180487.2936,50.73,27.33,1.0487
873726,卓兆点胶,机械基件,江苏,20231019,873726.BJ,20250912,39.81,40.1,39.0,39.03,39.81,-0.78,-1.9593,17249.49,67791.13,3.9959,7.4154,0.51,,177.3785,5.4274,25.6032,13.9146,,,8207.7246,4316.8451,2326.1756,320347.4911,168486.4643,51.75,27.87,1.0487
873726,卓兆点胶,机械基件,江苏,20231019,873726.BJ,20250911,39.02,40.36,38.79,39.81,39.18,0.63,1.608,18300.56,72700.725,4.2393,7.8672,0.45,,180.9233,5.5358,26.1149,14.1927,,,8207.7246,4316.8451,2326.1756,326749.5163,171853.6034,50.93,27.43,1.0487
873726,卓兆点胶,机械基件,江苏,20231019,873726.BJ,20250910,39.9,40.49,39.35,39.4,40.34,-0.94,-2.3302,22222.46,88404.224,5.1478,9.5532,0.52,,179.06,5.3162,25.8459,14.0466,,,8207.7246,4316.8451,2326.1756,323384.3492,170083.6969,52.44,28.24,1.0428
873726,卓兆点胶,机械基件,江苏,20231019,873726.BJ,20250909,43.89,43.89,40.34,40.34,44.51,-4.17,-9.3687,41583.8,172070.533,9.6329,17.8765,0.99,,183.332,5.443,26.4626,14.3817,,,8207.7246,4316.8451,2326.1756,331099.6104,174141.5313,57.86,31.16,1.0428
873726,卓兆点胶,机械基件,江苏,20231019,873726.BJ,20250908,44.12,47.0,44.01,44.51,45.21,-0.7,-1.5483,40234.96,182270.942,9.3205,17.2966,0.96,,202.2833,6.0057,29.198,15.8683,,,8207.7246,4316.8451,2326.1756,365325.8219,192142.7754,58.77,31.65,1.0428
873726,卓兆点胶,机械基件,江苏,20231019,873726.BJ,20250905,45.0,45.66,42.66,45.21,43.73,1.48,3.3844,48134.3,212921.209,11.1503,20.6925,1.26,,205.4646,6.1001,29.6572,16.1179,,,8207.7246,4316.8451,2326.1756,371071.2292,195164.567,56.84,30.62,1.0428
873726,卓兆点胶,机械基件,江苏,20231019,873726.BJ,20250904,43.0,45.86,43.0,43.73,42.77,0.96,2.2446,51950.14,230301.091,12.0343,22.3329,1.48,,198.7384,5.9004,28.6864,15.5902,,,8207.7246,4316.8451,2326.1756,358923.7968,188775.6362,55.6,29.94,1.0428
873726,卓兆点胶,机械基件,江苏,20231019,873726.BJ,20250903,42.21,43.78,41.69,42.77,42.6,0.17,0.3991,31811.78,135845.522,7.3692,13.6756,0.87,,194.3756,5.7709,28.0566,15.248,,,8207.7246,4316.8451,2326.1756,351044.3811,184631.4649,55.38,29.82,1.0428
873726,卓兆点胶,机械基件,江苏,20231019,873726.BJ,20250902,42.42,43.65,40.5,42.6,41.92,0.68,1.6221,38801.85,162869.229,8.9885,16.6805,0.96,,193.603,5.748,27.9451,15.1874,,,8207.7246,4316.8451,2326.1756,349649.068,183897.6013,54.49,29.35,1.0428
873726,卓兆点胶,机械基件,江苏,20231019,873726.BJ,20250901,40.2,42.49,39.91,41.92,39.86,2.06,5.1681,38260.97,158301.169,8.8632,16.448,0.89,,190.5126,5.6562,27.499,14.945,,,8207.7246,4316.8451,2326.1756,344067.8152,180962.1466,51.81,27.91,1.0428
873726,卓兆点胶,机械基件,江苏,20231019,873726.BJ,20250829,40.75,41.89,39.86,39.86,40.99,-1.13,-2.7568,30916.82,126279.909,7.1619,13.2908,0.63,,181.1506,5.3783,26.1477,14.2105,,,8207.7246,4316.8451,2326.1756,327159.9026,172069.4457,53.28,28.7,1.0428
873726,卓兆点胶,机械基件,江苏,20231019,873726.BJ,20250828,42.77,42.79,40.6,40.99,42.4,-1.41,-3.3255,35518.17,147303.698,8.2278,15.2689,0.64,,186.286,5.5307,26.889,14.6134,,,8207.7246,4316.8451,2326.1756,336434.6314,176947.4806,55.12,29.68,1.0428
873726,卓兆点胶,机械基件,江苏,20231019,873726.BJ,20250827,43.01,43.87,41.6,42.4,43.55,-1.15,-2.6406,39021.65,165975.689,9.0394,16.775,0.58,,192.694,5.721,27.8139,15.1161,,,8207.7246,4316.8451,2326.1756,348007.523,183034.2322,56.61,30.49,1.0428
873726,卓兆点胶,机械基件,江苏,20231019,873726.BJ,20250826,44.4,45.26,41.3,43.55,45.22,-1.67,-3.6931,58067.1,250130.663,13.4513,24.9625,0.81,,197.9204,5.8761,28.5683,15.5261,,,8207.7246,4316.8451,2326.1756,357446.4063,187998.6041,58.78,31.66,1.0428
873726,卓兆点胶,机械基件,江苏,20231019,873726.BJ,20250825,43.8,45.29,42.28,45.22,44.1,1.12,2.5397,52008.26,227875.233,12.0477,28.3623,0.68,,205.51,6.1015,29.6638,16.1214,,,8207.7246,4316.8451,1833.7122,371153.3064,195207.7354,57.33,30.87,1.0428
873726,卓兆点胶,机械基件,江苏,20231019,873726.BJ,20250822,45.7,47.57,43.2,44.1,46.28,-2.18,-4.7105,59776.44,267598.882,13.8473,32.5986,0.76,,200.42,5.9504,28.9291,15.7222,,,8207.7246,4316.8451,1833.7122,361960.6549,190372.8689,60.16,32.4,1.0428
873726,卓兆点胶,机械基件,江苏,20231019,873726.BJ,20250821,50.12,50.89,44.88,46.28,51.83,-5.55,-10.7081,70450.86,334762.958,16.32,38.4198,0.95,,210.3273,6.2445,30.3591,16.4993,,,8207.7246,4316.8451,1833.7122,379853.4945,199783.5912,67.37,36.29,1.0428
873726,卓兆点胶,机械基件,江苏,20231019,873726.BJ,20250820,43.29,54.48,41.8,51.83,43.31,8.52,19.6721,96389.9,449239.68,22.3288,52.5654,1.4,,235.5503,6.9934,33.9999,18.478,,,8207.7246,4316.8451,1833.7122,425406.366,223742.0815,56.3,30.32,1.0428
873726,卓兆点胶,机械基件,江苏,20231019,873726.BJ,20250819,42.92,46.2,41.18,43.31,43.8,-0.49,-1.1187,78469.32,336967.608,18.1775,42.7926,1.09,,196.8297,5.8438,28.4109,15.4405,,,8207.7246,4316.8451,1833.7122,355476.5524,186962.5613,56.94,30.66,1.0428
873726,卓兆点胶,机械基件,江苏,20231019,873726.BJ,20250818,36.99,44.99,36.58,43.8,37.32,6.48,17.3633,78914.14,326823.556,18.2805,43.0352,1.22,,199.0566,5.9099,28.7323,15.6152,,,8207.7246,4316.8451,1833.7122,359498.3375,189077.8154,48.51,26.13,1.0428
873726,卓兆点胶,机械基件,江苏,20231019,873726.BJ,20250815,35.0,38.8,35.0,37.32,34.58,2.74,7.9237,66930.99,247588.98,15.5046,36.5003,1.06,,169.6071,5.0355,24.4815,13.305,,,8207.7246,4316.8451,1833.7122,306312.2821,161104.6591,44.95,24.21,1.0428
873726,卓兆点胶,机械基件,江苏,20231019,873726.BJ,20250814,36.45,36.5,34.02,34.58,36.45,-1.87,-5.1303,50111.47,174556.592,11.6084,27.3279,0.72,,157.1547,4.6658,22.6841,12.3282,,,8207.7246,4316.8451,1833.7122,283823.1167,149276.5036,47.38,25.52,1.0428
873726,卓兆点胶,机械基件,江苏,20231019,873726.BJ,20250813,33.46,36.5,33.4,36.45,34.68,1.77,5.1038,70497.8,244699.823,16.3309,38.4454,1.17,,165.6532,4.9182,23.9108,12.9948,,,8207.7246,4316.8451,1833.7122,299171.5617,157349.0039,45.08,24.28,1.0428
873726,卓兆点胶,机械基件,江苏,20231019,873726.BJ,20250812,35.0,38.9,33.88,34.68,32.2,2.48,7.7019,93175.35,335941.214,21.5841,50.8124,2.08,,157.6092,4.6793,22.7497,12.3638,,,8207.7246,4316.8451,1833.7122,284643.8891,149708.1881,41.86,22.54,1.0428
873726,卓兆点胶,机械基件,江苏,20231019,873726.BJ,20250811,30.8,32.94,30.75,32.2,31.06,1.14,3.6703,42702.77,136363.692,9.8921,23.2825,1.14,,,4.5569,21.1228,16.0065,,,8207.7246,4316.8451,1834.1122,264288.7321,139002.4122,40.37,21.75,1.0428
