股票代码,名称,所属行业,地域,上市日期,TS代码,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,涨跌额,涨跌幅(%),成交量(手),成交额(千元),换手率(%),换手率(自由流通股),量比,市盈率,"市盈率(TTM,亏损的PE为空)",市净率,市销率,市销率(TTM),股息率(%),股息率(TTM)(%),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),今日涨停价,今日跌停价,复权因子
000055,方大集团,其他建材,深圳,19960415,000055.SZ,20251205,4.24,4.27,4.16,4.26,4.19,0.07,1.6706,98539.0,41657.824,1.458,1.9039,1.06,31.5903,416.1529,0.7512,1.034,1.2112,1.8779,1.1737,107387.4227,67585.2229,51756.188,457470.4207,287913.0496,4.61,3.77,10.3246
000055,方大集团,其他建材,深圳,19960415,000055.SZ,20251204,4.25,4.25,4.17,4.19,4.26,-0.07,-1.6432,106790.0,44877.762,1.5801,2.0633,1.24,31.0712,409.3147,0.7389,1.017,1.1913,1.9093,1.1933,107387.4227,67585.2229,51756.188,449953.3011,283182.084,4.69,3.83,10.3246
000055,方大集团,其他建材,深圳,19960415,000055.SZ,20251203,4.22,4.27,4.2,4.26,4.24,0.02,0.4717,104496.58,44315.26,1.5461,2.019,1.22,31.5903,416.1529,0.7512,1.034,1.2112,1.8779,1.1737,107387.4227,67585.2229,51756.188,457470.4207,287913.0496,4.66,3.82,10.3246
000055,方大集团,其他建材,深圳,19960415,000055.SZ,20251202,4.22,4.26,4.18,4.24,4.24,0.0,0.0,86815.47,36669.805,1.2845,1.6774,1.02,31.442,414.1991,0.7477,1.0292,1.2055,1.8868,1.1792,107387.4227,67585.2229,51756.188,455322.6722,286561.3451,4.66,3.82,10.3246
000055,方大集团,其他建材,深圳,19960415,000055.SZ,20251201,4.26,4.28,4.21,4.24,4.25,-0.01,-0.2353,83186.93,35300.597,1.2308,1.6073,0.9,31.442,414.1991,0.7477,1.0292,1.2055,1.8868,1.1792,107387.4227,67585.2229,51756.188,455322.6722,286561.3451,4.68,3.83,10.3246
000055,方大集团,其他建材,深圳,19960415,000055.SZ,20251128,4.2,4.26,4.18,4.25,4.19,0.06,1.432,83913.02,35433.296,1.2416,1.6213,0.68,31.5161,415.176,0.7495,1.0316,1.2084,1.8824,1.1765,107387.4227,67585.2229,51756.188,456396.5465,287237.1973,4.61,3.77,10.3246
000055,方大集团,其他建材,深圳,19960415,000055.SZ,20251127,4.2,4.22,4.18,4.19,4.18,0.01,0.2392,71881.0,30206.879,1.0636,1.3888,0.57,31.0712,409.3147,0.7389,1.017,1.1913,1.9093,1.1933,107387.4227,67585.2229,51756.188,449953.3011,283182.084,4.6,3.76,10.3246
000055,方大集团,其他建材,深圳,19960415,000055.SZ,20251126,4.18,4.24,4.17,4.18,4.18,0.0,0.0,101310.0,42513.626,1.499,1.9574,0.75,30.997,408.3378,0.7371,1.0146,1.1885,1.9139,1.1962,107387.4227,67585.2229,51756.188,448879.4269,282506.2317,4.6,3.76,10.3246
000055,方大集团,其他建材,深圳,19960415,000055.SZ,20251125,4.14,4.22,4.13,4.18,4.14,0.04,0.9662,85889.02,35973.506,1.2708,1.6595,0.58,30.997,408.3378,0.7371,1.0146,1.1885,1.9139,1.1962,107387.4227,67585.2229,51756.188,448879.4269,282506.2317,4.55,3.73,10.3246
000055,方大集团,其他建材,深圳,19960415,000055.SZ,20251124,4.12,4.17,4.08,4.14,4.11,0.03,0.7299,116724.8,48187.954,1.7271,2.2553,0.79,30.7004,404.4302,0.7301,1.0049,1.1771,1.9324,1.2077,107387.4227,67585.2229,51756.188,444583.93,279802.8228,4.52,3.7,10.3246
000055,方大集团,其他建材,深圳,19960415,000055.SZ,20251121,4.32,4.36,4.08,4.11,4.35,-0.24,-5.5172,239234.16,100421.46,3.5397,4.6223,1.79,30.4779,401.4996,0.7248,0.9976,1.1686,1.9465,1.2165,107387.4227,67585.2229,51756.188,441362.3073,277775.2661,4.79,3.92,10.3246
000055,方大集团,其他建材,深圳,19960415,000055.SZ,20251120,4.39,4.42,4.31,4.35,4.39,-0.04,-0.9112,91281.51,39737.043,1.3506,1.7637,0.64,32.2577,424.9448,0.7671,1.0559,1.2368,1.8391,1.1494,107387.4227,67585.2229,51756.188,467135.2887,293995.7196,4.83,3.95,10.3246
000055,方大集团,其他建材,深圳,19960415,000055.SZ,20251119,4.46,4.47,4.36,4.39,4.47,-0.08,-1.7897,144989.52,63740.199,2.1453,2.8014,1.03,32.5543,428.8524,0.7742,1.0656,1.2482,1.8223,1.139,107387.4227,67585.2229,51756.188,471430.7857,296699.1285,4.92,4.02,10.3246
000055,方大集团,其他建材,深圳,19960415,000055.SZ,20251118,4.5,4.5,4.41,4.47,4.5,-0.03,-0.6667,144173.56,64104.763,2.1332,2.7856,1.05,33.1475,436.6674,0.7883,1.085,1.2709,1.7897,1.1186,107387.4227,67585.2229,51756.188,480021.7795,302105.9464,4.95,4.05,10.3246
000055,方大集团,其他建材,深圳,19960415,000055.SZ,20251117,4.52,4.53,4.45,4.5,4.5,0.0,0.0,123071.0,55379.105,1.821,2.3779,0.91,33.37,439.5981,0.7936,1.0923,1.2794,1.7778,1.1111,107387.4227,67585.2229,51756.188,483243.4022,304133.5031,4.95,4.05,10.3246
000055,方大集团,其他建材,深圳,19960415,000055.SZ,20251114,4.48,4.55,4.48,4.5,4.49,0.01,0.2227,163229.41,73640.224,2.4152,3.1538,1.27,33.37,439.5981,0.7936,1.0923,1.2794,1.7778,1.1111,107387.4227,67585.2229,51756.188,483243.4022,304133.5031,4.94,4.04,10.3246
000055,方大集团,其他建材,深圳,19960415,000055.SZ,20251113,4.46,4.51,4.42,4.49,4.45,0.04,0.8989,139931.15,62751.477,2.0704,2.7037,1.16,33.2958,438.6212,0.7918,1.0898,1.2766,1.7817,1.1136,107387.4227,67585.2229,51756.188,482169.5279,303457.6508,4.9,4.01,10.3246
000055,方大集团,其他建材,深圳,19960415,000055.SZ,20251112,4.46,4.49,4.42,4.45,4.47,-0.02,-0.4474,133701.76,59527.111,1.9783,2.5833,1.06,32.9992,434.7137,0.7848,1.0801,1.2652,1.7978,1.1236,107387.4227,67585.2229,51756.188,477874.031,300754.2419,4.92,4.02,10.3246
000055,方大集团,其他建材,深圳,19960415,000055.SZ,20251111,4.43,4.49,4.41,4.47,4.44,0.03,0.6757,124067.01,55373.775,1.8357,2.3971,1.03,33.1475,436.6674,0.7883,1.085,1.2709,1.7897,1.1186,107387.4227,67585.2229,51756.188,480021.7795,302105.9464,4.88,4.0,10.3246
000055,方大集团,其他建材,深圳,19960415,000055.SZ,20251110,4.44,4.46,4.39,4.44,4.44,0.0,0.0,117657.38,52115.051,1.7409,2.2733,1.0,32.9251,433.7368,0.783,1.0777,1.2624,1.8018,1.1261,107387.4227,67585.2229,51756.188,476800.1568,300078.3897,4.88,4.0,10.3246
000055,方大集团,其他建材,深圳,19960415,000055.SZ,20251107,4.39,4.44,4.38,4.44,4.39,0.05,1.139,129005.12,56960.054,1.9088,2.4926,1.14,32.9251,433.7368,0.783,1.0777,1.2624,1.8018,1.1261,107387.4227,67585.2229,51756.188,476800.1568,300078.3897,4.83,3.95,10.3246
000055,方大集团,其他建材,深圳,19960415,000055.SZ,20251106,4.42,4.42,4.37,4.39,4.42,-0.03,-0.6787,97206.0,42639.031,1.4383,1.8782,0.78,32.5543,428.8524,0.7742,1.0656,1.2482,1.8223,1.139,107387.4227,67585.2229,51756.188,471430.7857,296699.1285,4.86,3.98,10.3246
000055,方大集团,其他建材,深圳,19960415,000055.SZ,20251105,4.34,4.43,4.32,4.42,4.35,0.07,1.6092,164257.03,72231.803,2.4304,3.1737,1.29,32.7768,431.783,0.7795,1.0728,1.2567,1.81,1.1312,107387.4227,67585.2229,51756.188,474652.4083,298726.6852,4.79,3.92,10.3246
000055,方大集团,其他建材,深圳,19960415,000055.SZ,20251104,4.33,4.35,4.3,4.35,4.33,0.02,0.4619,93058.0,40316.563,1.3769,1.798,0.66,32.2577,424.9448,0.7671,1.0559,1.2368,1.8391,1.1494,107387.4227,67585.2229,51756.188,467135.2887,293995.7196,4.76,3.9,10.3246
000055,方大集团,其他建材,深圳,19960415,000055.SZ,20251103,4.32,4.35,4.29,4.33,4.28,0.05,1.1682,102602.89,44373.055,1.5181,1.9824,0.73,32.1094,422.991,0.7636,1.051,1.2311,1.8476,1.1547,107387.4227,67585.2229,51756.188,464987.5403,292644.0152,4.71,3.85,10.3246
000055,方大集团,其他建材,深圳,19960415,000055.SZ,20251031,4.25,4.32,4.24,4.28,4.24,0.04,0.9434,108069.94,46317.661,1.599,2.0881,0.75,31.7386,418.1066,0.7548,1.0389,1.2169,1.8692,1.1682,107387.4227,67585.2229,51756.188,459618.1692,289264.754,4.66,3.82,10.3246
000055,方大集团,其他建材,深圳,19960415,000055.SZ,20251030,4.34,4.35,4.23,4.24,4.35,-0.11,-2.5287,158056.11,67654.54,2.3386,3.0539,1.13,31.442,414.1991,0.7477,1.0292,1.2055,1.8868,1.1792,107387.4227,67585.2229,51756.188,455322.6722,286561.3451,4.79,3.92,10.3246
000055,方大集团,其他建材,深圳,19960415,000055.SZ,20251029,4.4,4.4,4.3,4.35,4.43,-0.08,-1.8059,173826.2,75424.429,2.572,3.3586,1.42,32.2577,424.9448,0.7671,1.0559,1.2368,1.8391,1.1494,107387.4227,67585.2229,51756.188,467135.2887,293995.7196,4.87,3.99,10.3246
000055,方大集团,其他建材,深圳,19960415,000055.SZ,20251028,4.35,4.45,4.35,4.43,4.36,0.07,1.6055,163183.94,71766.836,2.4145,3.2368,1.34,32.8509,104.9979,0.781,1.0753,1.2234,1.8059,1.1287,107387.4227,67585.2229,50415.848,475726.2826,299402.5374,4.8,3.92,10.3246
000055,方大集团,其他建材,深圳,19960415,000055.SZ,20251027,4.38,4.4,4.33,4.36,4.35,0.01,0.2299,99154.9,43344.495,1.4671,1.9667,0.81,32.3318,103.3388,0.7687,1.0583,1.204,1.8349,1.1468,107387.4227,67585.2229,50415.848,468209.163,294671.5718,4.79,3.92,10.3246
