股票代码,名称,所属行业,地域,上市日期,TS代码,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,涨跌额,涨跌幅(%),成交量(手),成交额(千元),换手率(%),换手率(自由流通股),量比,市盈率,"市盈率(TTM,亏损的PE为空)",市净率,市销率,市销率(TTM),股息率(%),股息率(TTM)(%),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),今日涨停价,今日跌停价,复权因子
301238,瑞泰新材,化工原料,江苏,20220617,301238.SZ,20251205,20.81,20.97,20.39,20.89,20.66,0.23,1.1133,104895.79,217623.774,1.4304,4.917,0.95,181.0776,289.3891,2.1156,7.2881,7.7457,0.9574,0.4787,73333.33,73333.33,21333.33,1531933.2637,1531933.2637,24.79,16.53,1.0229
301238,瑞泰新材,化工原料,江苏,20220617,301238.SZ,20251204,20.92,20.99,20.38,20.66,20.92,-0.26,-1.2428,85399.0,176197.841,1.1645,4.0031,0.64,179.0839,286.2029,2.0923,7.2079,7.6604,0.9681,0.484,73333.33,73333.33,21333.33,1515066.5978,1515066.5978,25.1,16.74,1.0229
301238,瑞泰新材,化工原料,江苏,20220617,301238.SZ,20251203,21.49,21.55,20.81,20.92,21.37,-0.45,-2.1058,86848.0,182982.04,1.1843,4.071,0.62,181.3376,289.8047,2.1186,7.2986,7.7568,0.956,0.478,73333.33,73333.33,21333.33,1534133.2636,1534133.2636,25.64,17.1,1.0229
301238,瑞泰新材,化工原料,江苏,20220617,301238.SZ,20251202,21.75,21.91,21.36,21.37,21.75,-0.38,-1.7471,88854.78,191060.028,1.2117,4.1651,0.57,185.2383,296.0386,2.1642,7.4556,7.9236,0.9359,0.4679,73333.33,73333.33,21333.33,1567133.2621,1567133.2621,26.1,17.4,1.0229
301238,瑞泰新材,化工原料,江苏,20220617,301238.SZ,20251201,22.04,22.47,21.63,21.75,22.05,-0.3,-1.3605,134234.05,294407.726,1.8305,6.2922,0.83,188.5322,301.3027,2.2027,7.5882,8.0645,0.9195,0.4598,73333.33,73333.33,21333.33,1594999.9275,1594999.9275,26.46,17.64,1.0229
301238,瑞泰新材,化工原料,江苏,20220617,301238.SZ,20251128,21.56,22.38,21.53,22.05,21.64,0.41,1.8946,155104.38,341514.031,2.1151,7.2705,0.83,191.1326,305.4586,2.2331,7.6928,8.1758,0.907,0.4535,73333.33,73333.33,21333.33,1616999.9265,1616999.9265,25.97,17.31,1.0229
301238,瑞泰新材,化工原料,江苏,20220617,301238.SZ,20251127,20.86,22.16,20.78,21.64,20.9,0.74,3.5407,198918.87,430503.186,2.7125,9.3243,1.09,187.5787,299.7789,2.1916,7.5498,8.0237,0.9242,0.4621,73333.33,73333.33,21333.33,1586933.2612,1586933.2612,25.08,16.72,1.0229
301238,瑞泰新材,化工原料,江苏,20220617,301238.SZ,20251126,21.17,21.37,20.88,20.9,21.29,-0.39,-1.8318,127898.3,269694.539,1.7441,5.9952,0.64,181.1642,289.5277,2.1166,7.2916,7.7494,0.9569,0.4785,73333.33,73333.33,21333.33,1532666.597,1532666.597,25.55,17.03,1.0229
301238,瑞泰新材,化工原料,江苏,20220617,301238.SZ,20251125,20.79,21.45,20.73,21.29,20.59,0.7,3.3997,164507.85,346862.45,2.2433,7.7113,0.73,184.5448,294.9303,2.1561,7.4277,7.894,0.9394,0.4697,73333.33,73333.33,21333.33,1561266.5957,1561266.5957,24.71,16.47,1.0229
301238,瑞泰新材,化工原料,江苏,20220617,301238.SZ,20251124,21.11,21.23,20.48,20.59,20.72,-0.13,-0.6274,166773.0,345995.393,2.2742,7.8175,0.65,178.4771,285.2332,2.0852,7.1835,7.6344,0.9713,0.4857,73333.33,73333.33,21333.33,1509933.2647,1509933.2647,24.86,16.58,1.0229
