股票代码,名称,所属行业,地域,上市日期,TS代码,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,涨跌额,涨跌幅(%),成交量(手),成交额(千元),换手率(%),换手率(自由流通股),量比,市盈率,"市盈率(TTM,亏损的PE为空)",市净率,市销率,市销率(TTM),股息率(%),股息率(TTM)(%),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),今日涨停价,今日跌停价,复权因子
688216,气派科技,半导体,深圳,20210623,688216.SH,20251205,21.85,22.38,21.29,22.32,21.9,0.42,1.9178,22383.08,49163.287,2.1059,4.5842,1.59,,,4.0942,3.5789,3.3999,,,10687.9805,10628.5805,4882.6987,238555.7248,237229.9168,26.28,17.52,1.018
688216,气派科技,半导体,深圳,20210623,688216.SH,20251204,22.34,22.6,21.59,21.9,22.23,-0.33,-1.4845,15694.82,34550.108,1.4767,3.2144,1.14,,,4.0172,3.5116,3.3359,,,10687.9805,10628.5805,4882.6987,234066.773,232765.913,26.68,17.78,1.018
688216,气派科技,半导体,深圳,20210623,688216.SH,20251203,22.77,22.97,22.06,22.23,22.66,-0.43,-1.8976,15943.41,35635.609,1.5001,3.2653,1.16,,,4.0777,3.5645,3.3862,,,10687.9805,10628.5805,4882.6987,237593.8065,236273.3445,27.19,18.13,1.018
688216,气派科技,半导体,深圳,20210623,688216.SH,20251202,23.05,23.44,22.51,22.66,23.03,-0.37,-1.6066,12073.21,27432.789,1.1359,2.4727,0.84,,,4.1566,3.6334,3.4517,,,10687.9805,10628.5805,4882.6987,242189.6381,240843.6341,27.64,18.42,1.018
688216,气派科技,半导体,深圳,20210623,688216.SH,20251201,23.24,23.4,22.75,23.03,23.13,-0.1,-0.4323,14361.92,33275.538,1.3513,2.9414,0.92,,,4.2245,3.6927,3.508,,,10687.9805,10628.5805,4882.6987,246144.1909,244776.2089,27.76,18.5,1.018
688216,气派科技,半导体,深圳,20210623,688216.SH,20251128,22.78,23.15,22.53,23.13,22.78,0.35,1.5364,12360.95,28276.462,1.163,2.8438,0.71,,,4.2428,3.7088,3.5233,,,10687.9805,10628.5805,4346.6987,247212.989,245839.067,27.34,18.22,1.018
688216,气派科技,半导体,深圳,20210623,688216.SH,20251127,22.53,23.16,22.42,22.78,22.28,0.5,2.2442,14226.68,32532.143,1.3385,3.273,0.7,,,4.1786,3.6527,3.4699,,,10687.9805,10628.5805,4346.6987,243472.1958,242119.0638,26.74,17.82,1.018
688216,气派科技,半导体,深圳,20210623,688216.SH,20251126,22.66,22.93,22.25,22.28,22.38,-0.1,-0.4468,15491.77,34967.696,1.4576,3.564,0.77,,,4.0869,3.5725,3.3938,,,10687.9805,10628.5805,4346.6987,238128.2055,236804.7735,26.86,17.9,1.018
688216,气派科技,半导体,深圳,20210623,688216.SH,20251125,22.11,22.8,22.08,22.38,21.98,0.4,1.8198,15681.03,35275.508,1.4754,3.6076,0.8,,,4.1052,3.5885,3.409,,,10687.9805,10628.5805,4346.6987,239197.0036,237867.6316,26.38,17.58,1.018
688216,气派科技,半导体,深圳,20210623,688216.SH,20251124,21.69,22.16,21.28,21.98,21.36,0.62,2.9026,20276.25,43909.882,1.9077,4.6647,1.11,,,4.0319,3.5244,3.3481,,,10687.9805,10628.5805,4346.6987,234921.8114,233616.1994,25.63,17.09,1.018
688216,气派科技,半导体,深圳,20210623,688216.SH,20251121,22.44,22.9,21.26,21.36,22.59,-1.23,-5.4449,21194.77,46411.005,1.9941,4.8761,1.2,,,3.9181,3.425,3.2536,,,10687.9805,10628.5805,4346.6987,228295.2635,227026.4795,27.11,18.07,1.018
688216,气派科技,半导体,深圳,20210623,688216.SH,20251120,23.37,23.85,22.47,22.59,23.37,-0.78,-3.3376,28680.25,65499.248,2.6984,6.5982,1.9,,,4.1438,3.6222,3.441,,,10687.9805,10628.5805,4346.6987,241441.4795,240099.6335,28.04,18.7,1.018
688216,气派科技,半导体,深圳,20210623,688216.SH,20251119,23.9,24.29,23.05,23.37,24.1,-0.73,-3.029,14636.04,34578.615,1.377,3.3672,0.9,,,4.2868,3.7473,3.5598,,,10687.9805,10628.5805,4346.6987,249778.1043,248389.9263,28.92,19.28,1.018
688216,气派科技,半导体,深圳,20210623,688216.SH,20251118,23.91,24.45,23.82,24.1,23.94,0.16,0.6683,12703.88,30685.524,1.1953,2.9227,0.72,,,4.4207,3.8643,3.671,,,10687.9805,10628.5805,4346.6987,257580.3301,256148.7901,28.73,19.15,1.018
688216,气派科技,半导体,深圳,20210623,688216.SH,20251117,24.2,24.44,23.88,23.94,24.12,-0.18,-0.7463,14273.46,34434.898,1.3429,3.2837,0.79,,,4.3914,3.8387,3.6466,,,10687.9805,10628.5805,4346.6987,255870.2532,254448.2172,28.94,19.3,1.018
688216,气派科技,半导体,深圳,20210623,688216.SH,20251114,23.99,24.43,23.71,24.12,24.25,-0.13,-0.5361,17849.63,43138.853,1.6794,4.1065,1.03,,,4.4244,3.8675,3.6741,,,10687.9805,10628.5805,4346.6987,257794.0897,256361.3617,29.1,19.4,1.018
688216,气派科技,半导体,深圳,20210623,688216.SH,20251113,24.04,24.57,23.86,24.25,24.14,0.11,0.4557,15852.02,38483.484,1.4915,3.6469,0.93,,,4.4483,3.8884,3.6939,,,10687.9805,10628.5805,4346.6987,259183.5271,257743.0771,28.97,19.31,1.018
688216,气派科技,半导体,深圳,20210623,688216.SH,20251112,24.22,24.8,23.71,24.14,24.35,-0.21,-0.8624,20494.93,49742.151,1.9283,4.7151,1.23,,,4.4281,3.8707,3.6771,,,10687.9805,10628.5805,4346.6987,258007.8493,256573.9333,29.22,19.48,1.018
688216,气派科技,半导体,深圳,20210623,688216.SH,20251111,24.51,25.5,24.28,24.35,24.46,-0.11,-0.4497,19273.66,47748.617,1.8134,4.4341,1.06,,,4.4666,3.9044,3.7091,,,10687.9805,10628.5805,4346.6987,260252.3252,258805.9352,29.35,19.57,1.018
688216,气派科技,半导体,深圳,20210623,688216.SH,20251110,24.32,24.76,24.11,24.46,24.29,0.17,0.6999,16694.79,40766.279,1.5707,3.8408,0.85,,,4.4868,3.922,3.7259,,,10687.9805,10628.5805,4346.6987,261428.003,259975.079,29.15,19.43,1.018
688216,气派科技,半导体,深圳,20210623,688216.SH,20251107,24.54,24.59,23.87,24.29,24.62,-0.33,-1.3404,14664.86,35526.225,1.3798,3.3738,0.7,,,4.4556,3.8948,3.7,,,10687.9805,10628.5805,4346.6987,259611.0463,258168.2203,29.54,19.7,1.018
688216,气派科技,半导体,深圳,20210623,688216.SH,20251106,24.5,24.98,24.42,24.62,24.47,0.15,0.613,14209.55,35072.53,1.3369,3.269,0.66,,,4.5161,3.9477,3.7502,,,10687.9805,10628.5805,4346.6987,263138.0799,261675.6519,29.36,19.58,1.018
688216,气派科技,半导体,深圳,20210623,688216.SH,20251105,24.26,24.95,24.17,24.47,24.67,-0.2,-0.8107,18708.28,46027.176,1.7602,4.304,0.86,,,4.4886,3.9236,3.7274,,,10687.9805,10628.5805,4346.6987,261534.8828,260081.3648,29.6,19.74,1.018
688216,气派科技,半导体,深圳,20210623,688216.SH,20251104,24.67,25.16,24.22,24.67,24.67,0.0,0.0,26353.77,64989.455,2.4795,6.0629,1.29,,,4.5253,3.9557,3.7578,,,10687.9805,10628.5805,4346.6987,263672.4789,262207.0809,29.6,19.74,1.018
688216,气派科技,半导体,深圳,20210623,688216.SH,20251103,24.08,24.81,23.95,24.67,24.2,0.47,1.9421,24229.53,59166.939,2.2797,5.5742,1.19,,,4.5253,3.9557,3.7578,,,10687.9805,10628.5805,4346.6987,263672.4789,262207.0809,29.04,19.36,1.018
