股票代码,名称,所属行业,地域,上市日期,TS代码,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,涨跌额,涨跌幅(%),成交量(手),成交额(千元),换手率(%),换手率(自由流通股),量比,市盈率,"市盈率(TTM,亏损的PE为空)",市净率,市销率,市销率(TTM),股息率(%),股息率(TTM)(%),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),今日涨停价,今日跌停价,复权因子
688087,英科再生,环境保护,山东,20210709,688087.SH,20251205,29.78,30.18,29.55,29.98,29.78,0.2,0.6716,7152.48,21332.457,0.384,0.6865,0.71,18.9307,17.1606,2.1203,1.9898,1.7762,,,19405.4775,18624.549,10418.4874,581776.2155,558363.979,35.74,23.82,1.4332
688087,英科再生,环境保护,山东,20210709,688087.SH,20251204,29.66,30.14,29.39,29.78,29.67,0.11,0.3707,10458.69,31191.72,0.5616,1.0039,1.04,18.8044,17.0462,2.1062,1.9766,1.7644,,,19405.4775,18624.549,10418.4874,577895.12,554639.0692,35.6,23.74,1.4332
688087,英科再生,环境保护,山东,20210709,688087.SH,20251203,29.64,30.1,29.34,29.67,29.5,0.17,0.5763,13208.61,39266.234,0.7092,1.2678,1.31,18.7349,16.9832,2.0984,1.9693,1.7578,,,19405.4775,18624.549,10418.4874,575760.5174,552590.3688,35.4,23.6,1.4332
688087,英科再生,环境保护,山东,20210709,688087.SH,20251202,30.22,30.22,29.41,29.5,30.0,-0.5,-1.6667,6902.09,20497.866,0.3706,0.6625,0.64,18.6276,16.8859,2.0864,1.958,1.7478,,,19405.4775,18624.549,10418.4874,572461.5863,549424.1955,36.0,24.0,1.4332
688087,英科再生,环境保护,山东,20210709,688087.SH,20251201,30.09,30.41,29.62,30.0,29.77,0.23,0.7726,9563.91,28674.654,0.5135,0.918,0.84,18.9433,17.1721,2.1217,1.9912,1.7774,,,19405.4775,18624.549,10418.4874,582164.325,558736.47,35.72,23.82,1.4332
688087,英科再生,环境保护,山东,20210709,688087.SH,20251128,29.38,29.88,28.88,29.77,29.2,0.57,1.9521,10265.89,30226.573,0.5512,0.9854,0.8,18.7981,17.0404,2.1055,1.9759,1.7638,,,19405.4775,18624.549,10418.4874,577701.0652,554452.8237,35.04,23.36,1.4332
688087,英科再生,环境保护,山东,20210709,688087.SH,20251127,29.19,29.76,28.89,29.2,29.06,0.14,0.4818,10302.5,30187.036,0.5532,0.9889,0.83,18.4381,16.7142,2.0651,1.9381,1.73,,,19405.4775,18624.549,10418.4874,566639.943,543836.8308,34.87,23.25,1.4332
688087,英科再生,环境保护,山东,20210709,688087.SH,20251126,28.9,29.5,28.8,29.06,28.91,0.15,0.5189,13561.64,39517.912,0.7282,1.3017,1.15,18.3497,16.634,2.0552,1.9288,1.7217,,,19405.4775,18624.549,10418.4874,563923.1762,541229.3939,34.69,23.13,1.4332
688087,英科再生,环境保护,山东,20210709,688087.SH,20251125,28.72,29.11,28.4,28.91,28.55,0.36,1.2609,10466.05,30273.765,0.5619,1.0046,0.79,18.255,16.5482,2.0446,1.9188,1.7128,,,19405.4775,18624.549,10418.4874,561012.3545,538435.7116,34.26,22.84,1.4332
688087,英科再生,环境保护,山东,20210709,688087.SH,20251124,28.16,28.96,27.93,28.55,28.16,0.39,1.3849,12317.98,35032.167,0.6614,1.1823,0.84,18.0277,16.3421,2.0192,1.8949,1.6915,,,19405.4775,18624.549,10418.4874,554026.3826,531730.874,33.79,22.53,1.4332
688087,英科再生,环境保护,山东,20210709,688087.SH,20251121,29.04,29.39,27.94,28.16,29.09,-0.93,-3.197,17321.7,49388.928,0.93,1.6626,0.84,17.7814,16.1189,1.9916,1.869,1.6684,,,19405.4775,18624.549,10418.4874,546458.2464,524467.2998,34.91,23.27,1.4332
688087,英科再生,环境保护,山东,20210709,688087.SH,20251120,29.4,29.75,29.01,29.09,29.33,-0.24,-0.8183,8261.26,24219.378,0.4436,0.7929,0.35,18.3687,16.6512,2.0574,1.9308,1.7235,,,19405.4775,18624.549,10418.4874,564505.3405,541788.1304,35.2,23.46,1.4332
688087,英科再生,环境保护,山东,20210709,688087.SH,20251119,29.98,30.2,29.18,29.33,29.83,-0.5,-1.6762,10532.18,31056.272,0.5655,1.0109,0.41,18.5202,16.7886,2.0743,1.9467,1.7377,,,19405.4775,18624.549,10418.4874,569162.6551,546258.0222,35.8,23.86,1.4332
688087,英科再生,环境保护,山东,20210709,688087.SH,20251118,30.52,30.6,29.62,29.83,30.59,-0.76,-2.4845,18177.94,54511.854,0.976,1.7448,0.64,18.8359,17.0748,2.1097,1.9799,1.7673,,,19405.4775,18624.549,10418.4874,578865.3938,555570.2967,36.71,24.47,1.4332
688087,英科再生,环境保护,山东,20210709,688087.SH,20251117,31.39,31.52,30.37,30.59,31.12,-0.53,-1.7031,19020.22,58316.108,1.0212,1.8256,0.64,19.3158,17.5098,2.1634,2.0303,1.8123,,,19405.4775,18624.549,10418.4874,593613.5567,569724.9539,37.34,24.9,1.4332
688087,英科再生,环境保护,山东,20210709,688087.SH,20251114,30.94,32.75,30.94,31.12,30.96,0.16,0.5168,47487.14,151576.523,2.5497,4.558,2.03,19.6505,17.8132,2.2009,2.0655,1.8437,,,19405.4775,18624.549,10418.4874,603898.4598,579595.9649,37.15,24.77,1.4332
688087,英科再生,环境保护,山东,20210709,688087.SH,20251113,30.7,31.15,30.38,30.96,30.9,0.06,0.1942,24062.09,74190.972,1.292,2.3096,1.11,19.5495,17.7216,2.1896,2.0549,1.8343,,,19405.4775,18624.549,10418.4874,600793.5834,576616.037,37.08,24.72,1.4332
688087,英科再生,环境保护,山东,20210709,688087.SH,20251112,30.86,31.1,30.15,30.9,30.85,0.05,0.1621,19111.01,58415.263,1.0261,1.8343,0.93,19.5116,17.6873,2.1854,2.0509,1.8307,,,19405.4775,18624.549,10418.4874,599629.2548,575498.5641,37.02,24.68,1.4332
688087,英科再生,环境保护,山东,20210709,688087.SH,20251111,29.98,31.0,29.61,30.85,29.88,0.97,3.2463,32891.16,100330.995,1.766,3.157,1.91,19.48,17.6586,2.1818,2.0476,1.8278,,,19405.4775,18624.549,10418.4874,598658.9809,574567.3367,35.86,23.9,1.4332
688087,英科再生,环境保护,山东,20210709,688087.SH,20251110,29.88,30.26,29.52,29.88,29.57,0.31,1.0484,25850.64,77355.859,1.388,2.4812,1.6,18.8675,17.1034,2.1132,1.9832,1.7703,,,19405.4775,18624.549,10418.4874,579835.6677,556501.5241,35.48,23.66,1.4332
688087,英科再生,环境保护,山东,20210709,688087.SH,20251107,29.65,30.16,29.41,29.57,29.8,-0.23,-0.7718,15137.44,44906.59,0.8128,1.4529,0.66,18.6718,16.926,2.0913,1.9626,1.7519,,,19405.4775,18624.549,10418.4874,573819.9697,550727.9139,35.76,23.84,1.4332
688087,英科再生,环境保护,山东,20210709,688087.SH,20251106,29.6,30.46,29.46,29.8,29.64,0.16,0.5398,15199.06,45521.439,0.8161,1.4589,0.64,18.817,17.0576,2.1076,1.9779,1.7655,,,19405.4775,18624.549,10418.4874,578283.2295,555011.5602,35.57,23.71,1.4332
688087,英科再生,环境保护,山东,20210709,688087.SH,20251105,29.51,29.81,29.06,29.64,29.59,0.05,0.169,13347.58,39357.91,0.7167,1.2811,0.55,18.716,16.966,2.0963,1.9673,1.7561,,,19405.4775,18624.549,10418.4874,575178.3531,552031.6324,35.51,23.67,1.4332
688087,英科再生,环境保护,山东,20210709,688087.SH,20251104,30.28,30.32,29.37,29.59,30.21,-0.62,-2.0523,16660.17,49525.315,0.8945,1.5991,0.57,18.6844,16.9374,2.0927,1.9639,1.7531,,,19405.4775,18624.549,10418.4874,574208.0792,551100.4049,36.25,24.17,1.4332
